provider,market_type,instance_type,location,location_type,region,gpu_count,price_per_hour_usd,unit,gpu_model,tflops_total,cost_per_tflop_hour_usd
AWS,on-demand,g4dn.12xlarge,US West (Oregon),AWS Region,us-west-2,4,3.912,Hrs,T4,32,0.12225
AWS,on-demand,g4dn.12xlarge,EU (Stockholm),AWS Region,,4,4.15,Hrs,T4,32,0.1296875
AWS,on-demand,g4dn.12xlarge,EU (London),AWS Region,,4,4.577,Hrs,T4,32,0.14303125
AWS,on-demand,g4dn.12xlarge,Asia Pacific (Sydney),AWS Region,ap-southeast-2,4,5.087,Hrs,T4,32,0.15896875
AWS,on-demand,g4dn.12xlarge,Asia Pacific (Osaka),AWS Region,,4,5.281,Hrs,T4,32,0.16503125
AWS,on-demand,g4dn.12xlarge,AWS GovCloud (US-West),AWS Region,,4,4.931,Hrs,T4,32,0.15409375
AWS,on-demand,g4dn.12xlarge,US East (Ohio),AWS Region,us-east-2,4,3.912,Hrs,T4,32,0.12225
AWS,on-demand,g4dn.12xlarge,EU (Milan),AWS Region,,4,4.58,Hrs,T4,32,0.143125
AWS,on-demand,g4dn.12xlarge,EU (Frankfurt),AWS Region,eu-central-1,4,4.89,Hrs,T4,32,0.1528125
AWS,on-demand,g4dn.12xlarge,Africa (Cape Town),AWS Region,,4,5.19,Hrs,T4,32,0.1621875
